name,brand,ram,ssd,old_price,current_price,gift,total_rating,avg_score,link
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),Lenovo,RAM 16 GB,SSD 512 GB,15.990.000₫,14.490.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn
Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN),Lenovo,RAM 16 GB,SSD 512 GB,14.490.000₫,12.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15alc7-r7-82r400c1vn
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),Lenovo,RAM 16 GB,SSD 512 GB,14.390.000₫,12.490.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn
Lenovo Ideapad Slim 5 14IAH8 i5 12450H (83BF003WVN),Lenovo,RAM 16 GB,SSD 1 TB,18.490.000₫,16.790.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),Lenovo,RAM 16 GB,SSD 512 GB,24.990.000₫,21.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00D9VN),Lenovo,RAM 24 GB,SSD 512 GB,25.490.000₫,22.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00d9vn
Lenovo Ideapad Slim 3 15IRH8 i7 13620H (83EM003FVN),Lenovo,RAM 16 GB,SSD 1 TB,19.490.000₫,18.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn
Lenovo Ideapad Slim 5 15IRU9 Core 5 120U (83D0000EVN),Lenovo,RAM 16 GB,SSD 512 GB,21.690.000₫,18.490.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-15iru9-core-5-83d0000evn
Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC0040VN),Lenovo,RAM 24 GB,SSD 512 GB,29.490.000₫,26.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-loq-15arp9-r7-83jc0040vn
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DBVN),Lenovo,RAM 24 GB,SSD 512 GB,23.490.000₫,20.890.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00dbvn
Lenovo V14 G4 i7 1355U (83A00012VN),Lenovo,RAM 16 GB,SSD 512 GB,19.990.000₫,18.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-v14-i7-83a00012vn
Lenovo Gaming LOQ 15IRX9 i7 13650HX (83DV00D5VN),Lenovo,RAM 16 GB,SSD 512 GB,32.990.000₫,29.890.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i7-83dv00d5vn
Lenovo Ideapad Slim 5 16IMH9 Ultra 7 155H (83DC001SVN),Lenovo,RAM 32 GB,SSD 512 GB,27.690.000₫,26.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-16imh9-ultra-7-83dc001svn
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0047VN),Lenovo,RAM 32 GB,SSD 1 TB,49.990.000₫,47.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0047vn
Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA001NVN),Lenovo,RAM 16 GB,SSD 512 GB,22.690.000₫,21.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-5-83da001nvn
Lenovo IdeaPad 1 15AMN7 R5 7520U (82VG0061VN),Lenovo,RAM 8 GB,SSD 256 GB,12.690.000₫,9.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15amn7-r5-82vg0061vn
Lenovo Ideapad Slim 5 16IMH9 Ultra 5 125H (83DC001RVN),Lenovo,RAM 16 GB,SSD 512 GB,23.690.000₫,22.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-16imh9-ultra-5-83dc001rvn
Lenovo ThinkPad E14 Gen 6 Ultra 7 155U (21M7004UVN),Lenovo,RAM 16 GB,SSD 512 GB,28.790.000₫,27.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004uvn
Lenovo ThinkBook 16 G7 Ultra 5 125U (21MS007GVN),Lenovo,RAM 16 GB,SSD 512 GB,23.190.000₫,22.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-5-21ms007gvn
Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H (83DA0020VN),Lenovo,RAM 32 GB,SSD 1 TB,28.690.000₫,27.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da0020vn
Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS (83DH003BVN),Lenovo,RAM 32 GB,SSD 1 TB,44.990.000₫,41.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-slim-5-16ahp9-r7-83dh003bvn
Lenovo V15 G5 IRL Core 5 120U (83HF0000VN),Lenovo,RAM 16 GB,SSD 512 GB,19.890.000₫,18.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-v15-g5-irl-core-5-83hf0000vn
Lenovo V14 Core 5 120U (83HD0001VN),Lenovo,RAM 16 GB,SSD 512 GB,19.490.000₫,18.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-v14-core-5-83hd0001vn
Lenovo V15 G4 IRU i5 1335U (83A1000LVN),Lenovo,RAM 16 GB,SSD 512 GB,17.990.000₫,15.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-v15-g4-iru-i5-83a1000lvn
Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H (83CV001VVN),Lenovo,RAM 32 GB,SSD 1 TB,31.990.000₫,31.490.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-yoga-7-14imh9-ultra7-83cv001vvn
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0046VN),Lenovo,RAM 32 GB,SSD 1 TB,56.990.000₫,54.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0046vn
Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H (83DA001YVN),Lenovo,RAM 32 GB,SSD 512 GB,27.690.000₫,26.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da001yvn
Lenovo Gaming Legion 5 16IRX9 i7 14650HX (83DG0051VN),Lenovo,RAM 16 GB,SSD 1 TB,45.990.000₫,42.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-5-16irx9-i7-83dg0051vn
Lenovo ThinkBook 14 Ultra 7 155U (21MR0072VN),Lenovo,RAM 16 GB,SSD 512 GB,27.390.000₫,26.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-ultra-7-21mr0072vn
Lenovo Thinkpad X13 Ultra 5 125U (21LU004NVN),Lenovo,RAM 16 GB,SSD 512 GB,34.990.000₫,33.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-5-21lu004nvn
Lenovo ThinkPad T14s i7 1355U (21F6007XVN),Lenovo,RAM 32 GB,SSD 512 GB,45.690.000₫,44.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-t14s-i7-21f6007xvn
Lenovo Gaming Legion Pro 7 16IRX9H i9 14900HX (83DE001MVN),Lenovo,RAM 32 GB,SSD 1 TB,106.990.000₫,96.990.000₫,,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-pro-7-16irx9h-i9-83de001mvn
Lenovo Thinkpad X13 Ultra 7 155H (21LU004LVN),Lenovo,RAM 32 GB,SSD 1 TB,45.590.000₫,44.990.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-7-21lu004lvn
